scenario,method,traj_id,traj_pos_rmse_m,traj_vel_rmse_mps
test,GNN,58,3228931.98192691,3401.551194100622
test,GNN,59,3718149.3257233133,4473.574233949724
test,GNN,60,3579029.0404164596,4002.987813226456
test,GNN,61,4035089.925826959,4293.819239479512
test,GNN,62,3951347.2337918943,4441.96271801546
test,GNN,63,3145470.3872721815,3309.9861171263715
test,KalmanNetLike,0,13050.138073340044,17.021882946435113
test,KalmanNetLike,1,2369.2608701350723,2.0401147273357902
test,KalmanNetLike,2,1624.442439492085,1.3458915697928862
test,KalmanNetLike,3,2395.744803372253,3.037280163511347
test,KalmanNetLike,4,2031.8924691558068,1.4752204252030823
test,KalmanNetLike,5,2839.2023458501335,2.823706634801947
test,KalmanNetLike,6,4151.99663566173,4.990698724234906
test,KalmanNetLike,7,9431.594154028753,7.576103282726425
test,KalmanNetLike,8,2890.952852417172,2.8098972762650543
test,KalmanNetLike,9,2005.9179330264817,1.6415614577016984
test,KalmanNetLike,10,6446.230821349796,6.424320385171964
test,KalmanNetLike,11,7436.819790304092,10.121302167820069
test,KalmanNetLike,12,2023.0278740197248,1.595363918965076
test,KalmanNetLike,13,2751.4862018614385,2.2689477125920336
