scenario,scenario_index,realization_index,data_seed,initialization_seed,filter_seed,trajectories,time_steps,observed_step_count,zero_visible_step_count,visible_update_count,ekf_pos_rmse_m,ukf_pos_rmse_m,aukf_pos_rmse_m,best_nonadaptive_method,best_nonadaptive_pos_rmse_m,aukf_minus_ukf_m,aukf_vs_ukf_percent,aukf_minus_best_nonadaptive_m,aukf_vs_best_nonadaptive_percent,median_pre_update_r_only_nis_ukf,median_pre_update_r_only_nis_aukf,rho_pre_update_r_only_nis_aukf_vs_ukf,ukf_pre_update_r_only_nis_finite_count,aukf_pre_update_r_only_nis_finite_count,ukf_pre_update_r_only_nis_nonfinite_count,aukf_pre_update_r_only_nis_nonfinite_count,aukf_worse_than_ukf,aukf_worse_than_best_nonadaptive,finite_for_thresholds,divergent,exclusion_reason
high_inclination_test,7,7,791707,791724,791744,12,120,193,1115,193,323.7327023271201,362.3032474411112,314.5762708778534,EKF,323.7327023271201,-47.72697656325778,-13.173212467827888,-9.156431449266677,-2.8283924927715325,6.897716115885591,6.8784868854113626,0.9972122322590309,193,193,0,0,false,false,true,false,
force_model_mismatch_test,8,0,891000,891017,891037,12,120,235,1073,242,394.3992846851356,425.8302098616901,526.3199761398573,EKF,394.3992846851356,100.48976627816722,23.59855265102172,131.9206914547217,33.448511845055485,27.34327461335497,36.07460544799246,1.319322793560832,242,242,0,0,true,true,true,false,
force_model_mismatch_test,8,1,891101,891118,891138,12,120,365,943,365,436.3974836069612,507.41151236247657,806.3041115743667,EKF,436.3974836069612,298.8925992118902,58.90536417281207,369.90662796740554,84.76369407770457,26.613111936595416,34.17193156407506,1.2840261464156542,365,365,0,0,true,true,true,false,
force_model_mismatch_test,8,2,891202,891219,891239,12,120,297,1011,298,424.43212787336995,454.53885122302404,576.8996981602921,EKF,424.43212787336995,122.3608469372681,26.919777398132798,152.46757028692218,35.92272127250723,24.68981291659758,32.67575691497359,1.3234509724862071,298,298,0,0,true,true,true,false,
force_model_mismatch_test,8,3,891303,891320,891340,12,120,237,1071,237,405.39947128554064,443.59778619389607,490.49177778239675,EKF,405.39947128554064,46.89399158850068,10.57128620745717,85.09230649685611,20.9897428398277,29.117680805574317,39.15334766645059,1.3446588664765855,237,237,0,0,true,true,true,false,
force_model_mismatch_test,8,4,891404,891421,891441,12,120,328,980,338,477.535803018819,459.9344814193413,538.6130896766224,UKF,459.9344814193413,78.6786082572811,17.106481778552837,78.6786082572811,17.106481778552837,26.03206882017679,32.4262194877241,1.2456259128583498,338,338,0,0,true,true,true,false,
force_model_mismatch_test,8,5,891505,891522,891542,12,120,329,979,339,401.9120946911179,433.95266720451053,454.98108711793066,EKF,401.9120946911179,21.028419913420123,4.845786534481646,53.06899242681277,13.204129243136602,27.880808833327652,29.856734340313288,1.0708704513845986,339,339,0,0,true,true,true,false,
force_model_mismatch_test,8,6,891606,891623,891643,12,120,235,1073,235,370.69497628301053,384.1298688691219,409.8717634948731,EKF,370.69497628301053,25.74189462575123,6.701351993672179,39.176787211862575,10.568469960044101,29.9534150905616,36.28940947499021,1.2115282803403975,235,235,0,0,true,true,true,false,
force_model_mismatch_test,8,7,891707,891724,891744,12,120,268,1040,268,411.5161486276602,423.5415158392523,451.5374290209935,EKF,411.5161486276602,27.995913181741173,6.6099572615135385,40.02128039333331,9.72532439536038,30.47436781938928,35.614308407806774,1.1686643876873868,268,268,0,0,true,true,true,false,
force_component_omission_test,9,0,991000,991017,991037,12,120,337,971,344,368.62944478297294,381.17960529499027,399.01408634203625,EKF,368.62944478297294,17.834481047045983,4.678760563079994,30.38464155906331,8.242597543164784,11.274575485734985,11.171116875380092,0.9908237245397139,344,344,0,0,true,true,true,false,
force_component_omission_test,9,1,991101,991118,991138,12,120,313,995,325,356.74536320041705,540.2248810860027,336.2873621024845,EKF,356.74536320041705,-203.9375189835182,-37.750486163011765,-20.458001097932538,-5.734622845382121,9.451236788978342,8.963274878341972,0.9483705760916484,325,325,0,0,false,false,true,false,
force_component_omission_test,9,2,991202,991219,991239,12,120,268,1040,276,390.4622624009675,391.7233777335011,389.1950758158671,EKF,390.4622624009675,-2.5283019176339963,-0.6454304392713731,-1.2671865851004327,-0.3245349697326583,10.172870218531497,10.537331991690813,1.03582683798476,276,276,0,0,false,false,true,false,
force_component_omission_test,9,3,991303,991320,991340,12,120,278,1030,278,396.08754388019753,517.6168699918012,394.77993098655077,EKF,396.08754388019753,-122.83693900525043,-23.73124720745599,-1.3076128936467626,-0.3301322936937066,10.636961562974788,11.639576041111784,1.0942576009324791,278,278,0,0,false,false,true,false,
force_component_omission_test,9,4,991404,991421,991441,12,120,295,1013,295,410.3168843051309,451.90742789901105,415.0093063186435,EKF,410.3168843051309,-36.89812158036756,-8.164973466338614,4.692422013512612,1.1436092915014209,11.400006446113306,11.336512824440009,0.9944303872130753,295,295,0,0,false,true,true,false,
force_component_omission_test,9,5,991505,991522,991542,12,120,248,1060,248,1263.5981252115198,386.0876948102271,405.09904492126583,UKF,386.0876948102271,19.011350111038723,4.924101536150571,19.011350111038723,4.924101536150571,10.146595991944821,10.503292941402002,1.0351543463187414,248,248,0,0,true,true,true,false,
force_component_omission_test,9,6,991606,991623,991643,12,120,323,985,327,444.76687604969965,462.73425613716347,432.99563091350586,EKF,444.76687604969965,-29.738625223657607,-6.426717890287875,-11.771245136193784,-2.646610116459848,11.599960991238483,11.39738783943668,0.9825367385325858,327,327,0,0,false,false,true,false,
force_component_omission_test,9,7,991707,991724,991744,12,120,390,918,431,356.9399459088572,369.1170277509573,362.67588157515564,EKF,356.9399459088572,-6.441146175801634,-1.7450146407625136,5.735935666298417,1.6069749917435854,10.055878661483671,9.602827143817727,0.9549466005987884,431,431,0,0,false,true,true,false,
