tier,source_name,scenario,trajectory_row,trajectory_index,seed,split,source_is_extra,tier_flags,observed_steps,attention_selected_observed_step_rmse_m,local_selected_observed_step_rmse_m,mean_selected_observed_step_rmse_m,best_single_trajectory_observed_step_rmse_m,local_minus_attention_rmse_m,local_minus_mean_rmse_m,attention_selected_candidate_method,attention_selected_probability,local_selected_candidate_method,local_selected_probability,mean_selected_candidate_method,mean_selected_probability,best_single_candidate_method
all_eval_non_development,adaptive_candidate_fusion_observed_fixed_soft_seed101_split101_20260623,maneuver_shift_test,3,9,101,101,False,holdout_seed_ge_67;all_eval_non_development,24,394.9424865468676,555.8744729188459,410.2957508619443,398.90305740407956,160.93198637197827,145.57872205690154,EKF,0.9995794892311096,EKF,0.4022951126098633,EKF,0.9956623911857605,EKF
all_eval_non_development,adaptive_candidate_fusion_observed_fixed_soft_seed101_split101_20260623,maneuver_shift_test,4,42,101,101,False,holdout_seed_ge_67;all_eval_non_development,27,249.3307701334545,283.1790269278829,249.86085849990903,334.5293139695062,33.84825679442838,33.31816842797386,RFIS,0.9963051676750183,EKF,0.3744647800922394,RFIS,0.9970402121543884,EKF
all_eval_non_development,adaptive_candidate_fusion_observed_fixed_soft_seed101_split101_20260623,maneuver_shift_test,5,12,101,101,False,holdout_seed_ge_67;all_eval_non_development,24,343.7553377194047,297.8335776317528,339.41884676135084,354.30329522113925,-45.921760087651876,-41.58526912959803,EKF,0.9994609951972961,RFIS,0.469087690114975,EKF,0.9766769409179688,EKF
all_eval_non_development,adaptive_candidate_fusion_observed_fixed_soft_seed101_split101_20260623,maneuver_shift_test,6,4,101,101,False,holdout_seed_ge_67;all_eval_non_development,13,232.22086285032617,237.98928979367383,224.8874918954195,432.35528044527297,5.768426943347663,13.101797898254347,BatchWLS,0.9999210238456726,BatchWLS,0.5770866870880127,BatchWLS,0.9963650703430176,EKF
all_eval_non_development,adaptive_candidate_fusion_observed_fixed_soft_seed101_split101_20260623,process_noise_shift_test,0,41,101,101,False,holdout_seed_ge_67;all_eval_non_development,24,221.31056813646921,263.81366026149004,209.9697718590027,360.79040523375926,42.50309212502083,53.84388840248735,BatchWLS,0.9999997019767761,RFIS,0.5050406455993652,BatchWLS,0.991824209690094,RFIS
all_eval_non_development,adaptive_candidate_fusion_observed_fixed_soft_seed101_split101_20260623,process_noise_shift_test,1,24,101,101,False,holdout_seed_ge_67;all_eval_non_development,11,264.82520220868446,252.4033412100758,262.21392209105494,504.2219485121248,-12.42186099860865,-9.810580880979131,BatchWLS,0.9999831318855286,BatchWLS,0.5750160217285156,BatchWLS,0.9985536932945251,RFIS
all_eval_non_development,adaptive_candidate_fusion_observed_fixed_soft_seed101_split101_20260623,process_noise_shift_test,2,12,101,101,False,holdout_seed_ge_67;all_eval_non_development,11,401.1243389139898,441.671420953212,388.93978653270113,903.3168523443899,40.54708203922223,52.731634420510886,BatchWLS,1.0,BatchWLS,0.8002521991729736,BatchWLS,0.9999775886535645,RFIS
all_eval_non_development,adaptive_candidate_fusion_observed_fixed_soft_seed101_split101_20260623,process_noise_shift_test,3,18,101,101,False,holdout_seed_ge_67;all_eval_non_development,12,440.147033607725,568.4896789942404,597.4518035308218,369.74819550101637,128.34264538651541,-28.962124536581427,RFIS,0.6550107598304749,BatchWLS,0.6139978766441345,BatchWLS,0.6546022295951843,RFIS
all_eval_non_development,adaptive_candidate_fusion_observed_fixed_soft_seed101_split101_20260623,process_noise_shift_test,4,5,101,101,False,holdout_seed_ge_67;all_eval_non_development,36,211.25706591622207,363.0479395681295,253.45407679278446,375.5479585027621,151.79087365190742,109.59386277534503,BatchWLS,0.9996185898780823,RFIS,0.6934242844581604,BatchWLS,0.9991143345832825,RFIS
all_eval_non_development,adaptive_candidate_fusion_observed_fixed_soft_seed101_split101_20260623,process_noise_shift_test,5,32,101,101,False,holdout_seed_ge_67;all_eval_non_development,49,144.7543878725619,435.21230368472527,132.6412358098666,501.2093060036463,290.4579158121634,302.57106787485867,BatchWLS,0.9999101161956787,RFIS,0.4183274209499359,BatchWLS,0.9978806376457214,RFIS
